Date,Open,High,Low,Close,Volume,Symbol
2024-11-26,231.8487208075284,234.07450576495518,231.8487208075284,233.56773376464844,45986200,AAPL
2024-11-27,232.9814664022851,234.1937224347506,232.32565277909848,233.43853759765625,33498400,AAPL
2024-11-29,233.31931239062584,236.3002669685808,232.48464874765904,235.8233184814453,28481400,AAPL
2024-12-02,235.76367580720535,239.26131787624368,235.65437354492806,238.06893920898438,48137100,AAPL
2024-12-03,238.28756099978403,241.21882985808793,237.3833345065081,241.10952758789062,38861000,AAPL
2024-12-04,241.32812877991805,242.5602620666903,239.71841824290905,241.4672393798828,44383900,AAPL
2024-12-05,242.4410361127995,242.98753231090083,240.59284370740727,241.49705505371094,40033900,AAPL
2024-12-06,241.36788746709487,243.0769692456264,240.5431549096241,241.29832458496094,36870600,AAPL
2024-12-09,240.29473874492055,245.67039687977774,240.21524480725012,245.18350219726562,44649200,AAPL
2024-12-10,245.32261857013248,246.63424582967986,243.7824557106041,246.19703674316406,36914800,AAPL
2024-12-11,246.3858398593606,249.20780656351602,244.69662013013263,244.9251708984375,45205800,AAPL
2024-12-12,245.32260415969785,247.1608653940442,244.1202792424049,246.3858184814453,32777500,AAPL
2024-12-13,246.24671899982582,247.70737273801882,244.67674782957272,246.55474853515625,33155300,AAPL
2024-12-16,246.4156487620838,249.7841268474892,246.07779571830554,249.44627380371094,51694800,AAPL
2024-12-17,248.49236434269267,252.21855739876366,248.19426586582333,251.8707733154297,51356400,AAPL
2024-12-18,250.55917390522964,252.6657103008961,246.1672359539693,246.4752655029297,56774100,AAPL
2024-12-19,245.92873792847348,250.400169527173,245.5213371883983,248.20419311523438,60882300,AAPL
2024-12-20,246.46529524609687,253.3811159043778,244.13022347118752,252.87435913085938,147495300,AAPL
2024-12-23,253.15260355822258,254.02700659111463,251.84097626600598,253.64942932128906,40858800,AAPL
2024-12-24,253.86798918256417,256.57070690893096,253.66924678278625,256.560791015625,23234700,AAPL
2024-12-26,256.5508929178466,258.44877099351584,255.99445048269988,257.3756103515625,27237100,AAPL
2024-12-27,256.19316170058187,257.05766400729357,251.45345479939442,253.96739196777344,42355300,AAPL
2024-12-30,250.6287158030117,251.890657464443,249.15811581542044,250.59890747070312,35557500,AAPL
2024-12-31,250.83739579916153,251.6720594492945,247.84649497663966,248.83021545410156,39480700,AAPL
2025-01-02,247.34964638751123,247.51858047528103,240.28479918438643,242.30191040039062,55740700,AAPL
2025-01-03,241.81503295898438,242.62981931594805,240.3543640210219,241.81503295898438,40244100,AAPL
2025-01-06,242.75900387005615,245.7598357483754,241.6560500607284,243.4446258544922,45045600,AAPL
2025-01-07,241.4374181829594,243.99110961427562,239.81777667580207,240.6723175048828,40856000,AAPL
2025-01-08,240.38417847646193,242.1628232218062,238.52605495049286,241.1592254638672,37628900,AAPL
2025-01-10,238.48630187104285,238.63535869995312,231.5208099984783,235.34637451171875,61710900,AAPL
2025-01-13,232.04743903723335,233.18020116738663,228.26162915914,232.9119110107422,49630700,AAPL
2025-01-14,233.25971079858908,234.62100862534365,230.99418638589506,231.79904174804688,39435300,AAPL
2025-01-15,233.1503884256181,237.4429702030776,232.94171493841435,236.35987854003906,39832000,AAPL
2025-01-16,235.84318609247865,236.49898454969573,226.58234697208553,226.81088256835938,71759100,AAPL
2025-01-17,230.6463874145182,230.8153063545454,227.02949646555186,228.5199737548828,68488300,AAPL
2025-01-21,222.5779137526142,222.9952455214703,217.98724913328002,221.22654724121094,98070400,AAPL
2025-01-22,218.39465138442915,222.6971640978084,218.39465138442915,222.4090118408203,64126500,AAPL
2025-01-23,223.3132578125695,225.58871322146769,220.88874557201237,222.2401123046875,60234800,AAPL
2025-01-24,223.35297985225768,224.19758968028435,220.00437919561992,221.3656768798828,54697900,AAPL
2025-01-27,222.59782027357136,230.67619691244207,222.55806572164707,228.40074157714844,94863400,AAPL
2025-01-28,229.3844597561093,238.66516132615985,229.3447052045828,236.74740600585938,75707600,AAPL
2025-01-29,232.63366934231402,238.33723404319062,232.52436707787834,237.8404083251953,45486100,AAPL
2025-01-30,237.15477986216186,239.26131599650066,235.70405729633438,236.08163452148438,55658300,AAPL
2025-01-31,245.62071750771995,245.62071750771995,231.95800933839706,234.5017547607422,100959800,AAPL
2025-02-03,228.5298949466701,230.35820991583037,224.26712187534005,226.5624542236328,73063300,AAPL
2025-02-04,225.80729852188347,231.64997406812495,225.21110156992967,231.3220672607422,45067300,AAPL
2025-02-05,227.0791817096477,231.19289841511937,226.82083777153602,230.99417114257812,39620300,AAPL
2025-02-06,229.8216550685821,232.31573010563136,228.96711414866223,231.73941040039062,29925300,AAPL
